uuid,name,phone,x,y,produto_comprado
a0aba5bc-45c8-49b0-9200-dbe216fd6722,Robert Henry,5579572101,-49.2967054,-16.6194877,product_173
c5488419-76f3-4201-a09c-5a3b9cedcc76,Denise Moore,(406)804-5545x21056,-49.2412296,-16.6292375,product_190
315c4445-0e02-40b2-9efe-440503bc3786,Lori Roach,001-273-759-9005x4537,-49.2416234,-16.6130307,product_368
0c75ea8e-0046-4b29-af04-ea242a2b0159,Michael Sanders,422-980-3234x038,-49.2859872,-16.5812974,product_866
5d8d7542-776e-4a8e-8ea5-fa6e0347a90e,Jared Thornton,848.636.4439x7544,-49.2577725,-16.6047102,product_770
bd614667-58cf-4332-8225-e234705a0276,Alexandria Rivera,(568)394-5619,-49.2571133,-16.6162116,product_965
32f17e01-6e2a-4937-8b11-554c7eaf48b4,Lisa Thomas,718-356-4796x7338,-49.2585077,-16.5868794,product_39
265e508a-e435-4968-b39e-df1553e6782a,Anthony Rodgers,(644)307-9078x52287,-49.2533276,-16.5951348,product_395
29c05faf-3600-41ed-96d6-4daeaf4d35ea,Megan Diaz,382.632.1853,-49.2291785,-16.6062997,product_299
5338fe25-6b9e-4d23-9707-e87b9dd0b74a,Brianna Ortega,854-458-6740,-49.2449959,-16.6154767,product_469
85fb92f2-ca8f-4076-b702-394f8bd40d64,Gregory Acevedo,001-984-278-6306x33424,-49.2413413,-16.6067234,product_284
c48cf5c4-02a5-4a9d-85c6-d989f46a8e0b,Johnathan Hoover,+1-417-527-2972,-49.2540273,-16.6381093,product_256
a30b369d-11ea-42e5-af03-919e0e67aa9a,Jason Wagner,4223536564,-49.2676947,-16.6375959,product_50
73de232a-6498-42f7-89b0-2b1f1ad357b4,Roger Anderson,+1-612-779-6116x366,-49.2910928,-16.6211065,product_67
16d268fc-d3c0-4693-85c1-a9d6045f5180,Raymond Cameron,+1-351-650-9968,-49.2953027,-16.6340779,product_322
451a2e29-d315-4ec1-8e82-d3776a8e5612,Heather Garner,443-235-9564x0376,-49.2709787,-16.5988189,product_199
992da2c8-094e-4857-8cda-a554e41910f2,Julie Brown,(354)712-2714x6213,-49.2520815,-16.6228057,product_422
c6c0f61d-b28c-4acd-81cd-5fb1a94fa2f0,Joshua Reyes,968-439-6497x2581,-49.2584856,-16.5852238,product_233
a5b28926-8e90-441d-8e32-6cf187ee3617,Andrew Watson,738.957.7801,-49.2312334,-16.6366463,product_645
7035e740-1fba-48f8-a046-10492772ef42,Jonathan Guzman,001-293-219-6516x8165,-49.2774433,-16.6219686,product_602
c20afffa-37c7-4a22-b2b5-10b716b92b9f,Sandra Perry,(395)601-7364,-49.2726053,-16.6261416,product_263
51e1378f-c42f-4ffa-a82b-eae197be5267,Linda Vaughn,890.453.4725x969,-49.2654628,-16.5896656,product_237
861bbf94-5987-434c-91c6-ea73322c7b1c,Kristen Perez,001-943-240-1551x695,-49.2360622,-16.6308681,product_316
d5c7dcaa-79e8-42a0-889f-423f6cddba6f,Jonathan Fletcher,+1-391-348-2707,-49.232951,-16.6330303,product_315
083226e6-e2ec-4971-af07-d5e19baf6a4f,Jason Osborne,221-553-5028,-49.261994,-16.5838294,product_80
2711706b-e7b4-49bc-a03c-61edbb44421e,Cindy Gonzalez,(448)417-2826,-49.2739746,-16.6384206,product_603
b5af1c9e-8903-40e8-8229-d73380fc5d24,Charles Johnston,898-760-8767,-49.2609703,-16.5851311,product_806
c4dd2711-9da3-42c7-9d4a-70f8b9cc446b,Gary Haynes,649.293.2959,-49.2390536,-16.6393395,product_147
15b41d7f-e6ae-4fad-accc-2b07448eaea5,Jill Bartlett,819.276.8919x144,-49.2774075,-16.6235996,product_767
a0442000-5876-4ca3-9749-98db705739c2,James Butler,001-628-346-1066x6246,-49.2792547,-16.585016,product_779
a557fb68-00ec-46cc-bb63-9764b6d2d0c4,Thomas Bell,(254)314-7365,-49.2942127,-16.6064144,product_999
7f6c0660-7332-40de-bade-61944a404b69,Lauren Herrera,(875)768-8258,-49.296896,-16.6122281,product_322
2f4aca23-b2de-49ab-b259-92cfd22ff44d,Ryan Campbell,363.293.9076x1894,-49.2447071,-16.6014843,product_324
c8b830f2-107a-4ab8-8477-05d77a18d485,Jeffery Cook,001-965-659-5176x9228,-49.2343463,-16.631768,product_691
de575e65-d661-4b96-9799-a2f581527bf5,Andrew Chan,001-303-378-5443x2125,-49.2888688,-16.6206047,product_41
87f14506-aa64-49d9-988c-008e5a2f9284,Claudia Vazquez,001-928-797-0155x7398,-49.2466014,-16.6325405,product_67
94620e81-fb72-49f3-b0c4-f8da1b5e738b,Thomas Hickman,(213)293-4557x6517,-49.2770318,-16.5691532,product_743
21e4f69f-236e-4e1b-8b23-c29a1ce70a74,Elizabeth Rice,490-844-3614x215,-49.2332859,-16.6283211,product_509
8e191e63-2149-4dad-859f-dfe8321e1ef8,Douglas Garcia,5762399013,-49.2496396,-16.6171529,product_768
64ab4780-9030-43f2-95f0-ef9ddc0392ab,Laura Cook,001-705-519-7779x70825,-49.2976239,-16.6168119,product_726
69812ea8-bac5-4216-964e-095be17fe1d9,Paul Rivera,619.774.7859x61634,-49.2727896,-16.6279714,product_934
8098bc48-ff57-486f-98d2-f81cab86511f,Valerie Jones,+1-330-462-6219x8231,-49.3002567,-16.6359099,product_100
1f651536-b4d1-41b5-827a-e8ef48873236,Christopher Evans,882-554-7720x15577,-49.2994977,-16.6143031,product_893
362ac685-ddd9-4109-b50d-1d5f26592937,Matthew Freeman,+1-316-206-8822x28867,-49.2947826,-16.594075,product_131
16d802cc-544c-413d-aee7-f9b71db77328,Cynthia Murphy,001-419-667-4151x03583,-49.2676884,-16.5990206,product_979
0cc0a042-fd43-4cd7-bd91-a3c14cb19e33,Nicholas Howard,767-668-0004x06487,-49.2675762,-16.5905746,product_552
a2440497-3c2f-48e8-8e1e-4202a3332348,Mrs. Katherine Powers DVM,493-305-9894,-49.2640704,-16.5911336,product_682
8a133b4e-5a0b-45c3-bc90-17f64be41197,Kevin Bass Jr.,585.206.1344,-49.29129,-16.6228813,product_646
fb9d4dbc-ee2b-4260-be3a-2d411bf93110,Edward Fisher,519.501.5305x0051,-49.294836,-16.6155679,product_405
30a8f83e-2e6b-440b-a8f3-98a1184a2013,David Moss,824.372.9758,-49.2445118,-16.6013027,product_437
5c2b601d-661b-440b-9abb-0b03a64adf60,Mark Barrett,+1-971-415-5913,-49.229935,-16.6379791,product_610
508ceb06-f2ef-40e4-ada7-f18171e3634e,Lisa Romero,(288)698-9292,-49.2788164,-16.6364348,product_944
ea067b62-c3e0-44cc-96c3-75a3d07a85b8,Samuel Cruz,(858)789-6937,-49.2730726,-16.6291453,product_432
94138802-868f-44d0-8f31-552c249454d0,Nicole Livingston,(246)569-6522,-49.2509073,-16.6084176,product_519
393dd8ab-6ba7-461c-85e1-8f199e24ae83,Sarah Patel,001-651-608-8979x7028,-49.251831,-16.6245262,product_752
ed17a853-01cb-4b16-af8d-108a394b83b2,Sarah Davis,920.282.3293,-49.3016786,-16.6233719,product_380
5e9f541c-f2b6-4e7b-87cb-0d3104589b60,Jessica Wright MD,(649)504-8937x77801,-49.2512285,-16.6120166,product_425
102adc46-4378-4184-8269-13c6a5852e4e,Daniel Sanchez,589-695-4228x0113,-49.2655422,-16.619914,product_322
90f15bd2-473d-4be6-9b17-38e0353aabb8,Jean Freeman,(805)411-4160x55085,-49.2991098,-16.6153671,product_367
92e8b2d9-ef70-4507-93f0-0b6b46482e5f,Lydia Byrd,(831)535-1280,-49.231579,-16.6356342,product_766
e49f6cdc-2f91-496e-b7d6-e8625dd86ee8,Sherry Turner,(760)806-5482,-49.2663246,-16.5936665,product_58
2e07f6d2-b7f5-47fb-a016-2695c17a8b64,Amy Decker,001-627-669-7105x72469,-49.2567751,-16.6044662,product_100
821f2431-6c33-4bf3-86cd-63d0266a20d4,Karen Morales,6953366248,-49.2542479,-16.6162905,product_405
f960fcf3-9030-4b14-817a-4c30e40560b9,Michael Vaughn,(958)543-3604x33111,-49.2544435,-16.6157489,product_56
5c525b4f-c5af-495c-8f5f-94fe9bb89b25,Antonio Davis,(799)784-2529x6245,-49.2739006,-16.6266669,product_426
66a8a69f-22c3-412f-b1e6-3f084fbb7bdf,Kayla Macdonald,875-893-7572,-49.239725,-16.6216469,product_470
f5b301fa-3736-4a27-afc4-28e1e58b79b7,Whitney Perkins,888-556-8264,-49.2438983,-16.6134011,product_790
a8ac5a7e-ced2-4a57-8f1a-d8019a0a2fe8,James Harper,(791)638-1777x7088,-49.2739006,-16.6266669,product_875
03ad8aec-2472-4329-8c0e-f41df0febc09,Lucas Fernandez,227.291.8550x352,-49.2909266,-16.6269697,product_41
f9f7ca1e-e772-4ad4-9c08-7fc7fddf08ee,Robert Leach,(753)414-7410x32166,-49.2542062,-16.630354,product_651
c19f0f4d-138b-4196-b130-76a842d5dbf2,Heather Burton,(804)583-4722,-49.2537145,-16.6280418,product_852
c1c20531-df7e-4c0e-8744-533dbd22d8fb,Collin Lowery,486-493-6193,-49.253676,-16.613566,product_577
d4e9a2c6-7422-45a7-9dc0-de0cea6f9a84,Jeffery Garcia,001-783-632-4396x3081,-49.2870571,-16.631201,product_322
144aee3e-a818-41ab-b688-254d223e87d4,Erin Baldwin,820.946.4391x6763,-49.2560534,-16.6053016,product_179
1ace555b-de5f-4d98-b1b4-ef22a1edc326,Mallory Campbell,(547)320-7117,-49.2662665,-16.5957281,product_619
717379af-d5f2-4545-96ad-e0dbe9bff470,Alex Ray,319.522.4138x98185,-49.2782076,-16.6095495,product_683
ca6ac98f-db95-4aa3-9373-2ba46164d911,Ryan Smith,275-505-4021x714,-49.2900129,-16.5847436,product_276
14427d50-5810-4e80-803b-b986fed2b10b,Katrina Hughes,852-726-6903x4821,-49.2947973,-16.5852022,product_886
a2c7d2cd-9580-4e28-bc0a-ee075ed8a1ea,Joshua Anderson,+1-358-973-4500,-49.2769522,-16.6236159,product_397
c9f94f12-7100-4256-8119-64a0c0528b42,Carolyn Reed,396-852-6011x3754,-49.2631986,-16.5828739,product_495
a86b22ae-9cc9-4e68-9f3e-e819df83986f,Jessica Thompson,(485)298-7274x7365,-49.25133,-16.6142926,product_165
15a77541-1470-4c83-ba6b-a4b0d36707a9,Randall Moreno,001-836-479-1788x9122,-49.2463245,-16.5944079,product_354
078a545d-0e49-477c-ae04-906eeec9ad7b,Christine Salinas,333-859-9798,-49.2596368,-16.6002004,product_950
4f5272bc-531b-43a0-aae9-99e2ac87fa30,Marissa Montgomery,(645)633-2847x061,-49.2609731,-16.5901344,product_800
49578d8c-3fad-4a4c-9f8d-b1d75c7d9950,Charles Allen,(329)781-7532x5019,-49.2396353,-16.6067879,product_825
